index,i_a,i_b,i_c,u_a,u_b,di_1,di_2
567,-10.7879638671875,-12.9852294921875,23.36883544921875,773.4235229492188,1060.9058837890625,0,0
568,-14.94598388671875,-8.4228515625,23.01025390625,829.0000610351562,1085.86474609375,0,0
569,-17.69256591796875,-3.7994384765625,21.24786376953125,882.5556640625,1103.8514404296875,0,0
570,-19.95086669921875,-0.02288818359375,19.82879638671875,939.7490234375,1113.754150390625,0,0
571,-22.3236083984375,4.4403076171875,17.88330078125,990.7783813476562,1108.90380859375,0,0
572,-23.07891845703125,8.87298583984375,14.21356201171875,1029.782958984375,1093.6455078125,0,0
573,-23.040771484375,11.9171142578125,10.97869873046875,1064.341552734375,1070.2022705078125,0,0
574,-22.8729248046875,15.0299072265625,7.75146484375,1095.66650390625,1039.9888916015625,0,0
575,-20.92742919921875,18.49365234375,2.3040771484375,1106.6807861328125,995.5276489257812,0,0
576,-18.07403564453125,20.416259765625,-2.50244140625,1106.6807861328125,946.1150512695312,0,0
577,-15.75469970703125,21.79718017578125,-6.1492919921875,1103.34619140625,893.064697265625,0,0
578,-12.88604736328125,23.15521240234375,-10.39886474609375,1083.9449462890625,833.951416015625,0,0
579,-8.35418701171875,22.7203369140625,-14.556884765625,1054.843017578125,777.2633666992188,0,0
580,-4.21142578125,21.2860107421875,-17.3187255859375,1021.0928344726562,721.5857543945312,0,0
581,-0.46539306640625,20.07293701171875,-19.866943359375,974.6106567382812,665.80712890625,0,0
582,4.03594970703125,18.0511474609375,-22.3541259765625,918.73095703125,613.5651245117188,0,0
583,8.331298828125,14.5111083984375,-22.979736328125,865.478515625,572.53955078125,0,0
584,11.6119384765625,11.138916015625,-22.81951904296875,808.6893920898438,533.9390869140625,0,0
585,15.1519775390625,7.53021240234375,-22.705078125,746.1405029296875,506.858154296875,0,0
586,18.39447021484375,2.72369384765625,-21.3165283203125,690.9681396484375,494.9344787597656,0,0
587,20.21026611328125,-1.59454345703125,-18.85986328125,639.2313842773438,490.2862548828125,0,0
588,21.79718017578125,-5.3863525390625,-16.6473388671875,586.9894409179688,492.3072204589844,0,0
589,23.223876953125,-9.77325439453125,-13.74053955078125,547.9848022460938,511.91058349609375,0,0
590,22.9949951171875,-13.3514404296875,-9.857177734375,520.196533203125,538.2841796875,0,0
591,21.49200439453125,-16.2353515625,-5.28717041015625,492.1051025390625,568.1944580078125,0,0
592,20.172119140625,-19.30999755859375,-0.89263916015625,482.40447998046875,615.7882080078125,0,0
593,17.8680419921875,-21.82769775390625,3.7994384765625,488.06317138671875,671.7689819335938,0,0
594,14.434814453125,-22.65167236328125,7.92694091796875,497.15753173828125,724.4151000976562,0,0
595,11.5203857421875,-23.1170654296875,11.2762451171875,514.6388549804688,783.1241455078125,0,0
596,7.86590576171875,-23.3001708984375,15.1824951171875,548.3890380859375,842.9447631835938,0,0
597,2.96783447265625,-21.759033203125,18.51654052734375,589.4146118164062,897.6118774414062,0,0
598,-1.1138916015625,-19.53125,20.27130126953125,635.3916015625,951.5716552734375,0,0
599,-4.8828125,-17.669677734375,22.19390869140625,690.2608032226562,1003.308349609375,0,0
600,-9.43756103515625,-14.44244384765625,23.49853515625,748.0604248046875,1043.121337890625,0,0
